OOS,IS,Avalible,time
7,63,59,20:17:24
6,55,68,20:17:36
10,31,31,20:18:21
7,63,59,20:18:33
6,55,68,20:18:45
10,31,31,20:20:18
7,63,59,20:20:30
6,55,68,20:20:42
0,5,0,20:20:54
10,31,31,20:21:35
7,63,59,20:21:47
6,55,68,20:21:58
6,140,91,20:22:11
4,5,17,20:22:23
5,20,22,20:22:35
0,41,0,20:22:47
2,132,94,20:22:59
3,129,94,20:23:10
4,172,96,20:23:22
2,10,24,20:23:33
1,153,99,20:23:45
3,80,88,20:23:57
4,138,91,20:24:09
3,102,95,20:24:21
7,104,88,20:24:33
3,111,94,20:24:45
0,78,0,20:24:57
2,91,95,20:25:09
0,73,0,20:25:21
4,98,91,20:25:33
3,75,80,20:25:45
3,115,96,20:25:56
2,145,98,20:26:08
9,25,22,20:27:47
7,73,69,20:28:22
10,44,52,20:29:04
4,7,30,20:29:46
0,41,100,20:30:59
5,4,6,20:31:39
9,16,14,20:32:19
10,31,31,20:32:56
7,63,59,20:33:09
6,55,68,20:33:21
6,140,91,20:33:33
4,5,17,20:33:46
4,5,17,20:33:46
10,31,31,20:35:21
7,63,59,20:35:34
6,55,68,20:35:45
6,140,91,20:35:57
4,5,17,20:36:10
5,20,22,20:36:22
0,41,100,20:36:35
2,132,94,20:36:48
3,129,94,20:36:59
4,172,96,20:37:11
2,10,24,20:37:23
1,153,99,20:37:35
3,80,88,20:37:48
4,138,91,20:38:01
3,102,95,20:38:13
7,104,88,20:38:25
3,111,94,20:38:37
0,78,100,20:38:49
2,91,95,20:39:01
0,73,100,20:39:13
4,98,91,20:39:24
3,75,80,20:39:37
3,115,96,20:39:49
2,145,98,20:40:02
4,124,95,20:40:19
7,121,81,20:40:31
7,117,91,20:40:44
9,23,49,20:40:56
5,50,78,20:41:09
2,51,84,20:41:21
10,56,82,20:41:33
4,92,83,20:41:46
2,120,98,20:41:58
4,140,95,20:42:10
2,99,91,20:42:22
5,104,91,20:42:34
5,89,95,20:42:47
9,25,22,20:42:59
7,73,69,20:43:12
10,44,52,20:43:25
5,4,6,20:43:37
9,16,14,20:43:49
10,31,31,20:44:01
7,63,59,20:44:13
6,55,68,20:44:25
6,140,91,20:44:38
4,5,17,20:44:50
5,20,22,20:45:02
0,41,100,20:45:14
2,132,94,20:45:27
3,129,94,20:45:39
4,172,96,20:45:51
2,10,24,20:46:02
1,153,99,20:46:14
3,80,88,20:46:27
4,138,91,20:46:39
3,102,95,20:46:51
7,104,88,20:47:03
3,111,94,20:47:14
0,78,100,20:47:26
2,91,95,20:47:39
0,73,100,20:47:50
4,98,91,20:48:03
3,75,80,20:48:14
3,115,96,20:48:26
2,145,98,20:48:38
4,124,95,20:48:50
7,121,81,20:49:02
7,117,91,20:49:14
9,23,49,20:49:26
5,50,78,20:49:38
2,51,84,20:49:51
10,56,82,20:50:03
4,92,83,20:50:16
2,120,98,20:50:28
4,140,95,20:50:40
2,99,91,20:50:53
5,104,91,20:51:05
5,89,95,20:51:18
9,25,22,20:51:31
7,73,69,20:51:44
10,44,52,20:51:57
5,4,6,20:52:08
9,16,14,20:52:20
10,31,31,20:52:31
7,63,59,20:52:43
6,55,68,20:52:54
6,140,91,20:53:06
4,5,17,20:53:18
5,20,22,20:53:31
0,41,100,20:53:42
2,132,94,20:53:54
3,129,94,20:54:06
4,172,96,20:54:17
2,10,24,20:54:29
1,153,99,20:54:41
3,80,88,20:54:53
4,138,91,20:55:05
3,102,95,20:55:16
7,104,88,20:55:28
3,111,94,20:55:40
0,78,100,20:55:52
2,91,95,20:56:03
0,73,100,20:56:15
4,98,91,20:56:27
3,75,80,20:56:39
3,115,96,20:56:51
2,145,98,20:57:03
4,124,95,20:57:15
7,121,81,20:57:27
7,117,91,20:57:40
9,23,49,20:57:52
5,50,78,20:58:05
2,51,84,20:58:17
10,56,82,20:58:31
4,92,83,20:58:43
2,120,98,20:58:55
4,140,95,20:59:07
2,99,91,20:59:19
5,104,91,20:59:31
5,89,95,20:59:45
9,25,22,20:59:57
7,73,69,21:00:09
10,44,52,21:00:21
5,4,6,21:00:33
9,16,14,21:00:44
10,31,31,21:00:57
7,63,59,21:01:09
6,55,68,21:01:20
6,140,91,21:01:32
4,5,17,21:01:45
5,20,22,21:01:57
0,41,100,21:02:09
2,132,94,21:02:21
3,129,94,21:02:33
4,172,96,21:02:44
2,10,24,21:02:56
1,153,99,21:03:08
3,80,88,21:03:20
4,138,91,21:03:33
3,102,95,21:03:45
7,104,88,21:03:58
3,111,94,21:04:09
0,78,100,21:04:21
2,91,95,21:04:33
0,73,100,21:04:45
4,98,91,21:04:57
3,75,80,21:05:08
3,115,96,21:05:20
2,145,98,21:05:32
4,124,95,21:05:44
7,121,81,21:05:57
7,117,91,21:06:09
9,23,49,21:06:21
5,50,78,21:06:34
2,51,84,21:06:46
10,56,82,21:06:58
4,92,83,21:07:10
2,120,98,21:07:22
4,140,95,21:07:35
2,99,91,21:07:47
5,104,91,21:08:00
5,89,95,21:08:12
9,25,22,21:08:24
7,73,69,21:08:39
10,44,52,21:08:52
5,4,6,21:09:04
9,16,14,21:09:16
10,31,31,21:09:28
7,63,59,21:09:39
6,55,68,21:09:50
6,140,91,21:10:02
4,5,17,21:10:15
5,20,22,21:10:28
0,41,100,21:10:40
2,132,94,21:10:52
3,129,94,21:11:05
4,172,96,21:11:16
2,10,24,21:11:28
1,153,99,21:11:40
3,80,88,21:11:52
4,138,91,21:12:04
3,102,95,21:12:17
7,104,88,21:12:30
3,111,94,21:12:42
0,78,100,21:12:54
2,91,95,21:13:06
0,73,100,21:13:18
4,98,91,21:13:29
3,75,80,21:13:41
3,115,96,21:13:53
2,145,98,21:14:05
4,124,95,21:14:18
7,121,81,21:14:30
7,117,91,21:14:42
9,23,49,21:14:54
5,50,78,21:15:06
2,51,84,21:15:18
10,56,82,21:15:30
4,92,83,21:15:42
2,120,98,21:15:55
4,140,95,21:16:08
2,99,91,21:16:21
5,104,91,21:16:34
5,89,95,21:16:47
9,25,22,21:16:59
7,73,69,21:17:15
10,44,52,21:17:27
5,4,6,21:17:39
9,16,14,21:17:52
10,31,31,21:18:04
7,63,59,21:18:16
6,55,68,21:18:28
6,140,91,21:18:41
4,5,17,21:18:53
5,20,22,21:19:06
0,41,100,21:19:18
2,132,94,21:19:30
3,129,94,21:19:42
4,172,96,21:19:54
2,10,24,21:20:06
1,153,99,21:20:17
3,80,88,21:20:29
4,138,91,21:20:42
3,102,95,21:20:54
7,104,88,21:21:05
3,111,94,21:21:17
0,78,100,21:21:31
2,91,95,21:21:42
0,73,100,21:21:55
4,98,91,21:22:07
3,75,80,21:22:19
3,115,96,21:22:31
2,145,98,21:22:44
4,124,95,21:22:56
7,121,81,21:23:08
7,117,91,21:23:20
9,23,49,21:23:33
5,50,78,21:23:45
2,51,84,21:23:57
10,56,82,21:24:09
4,92,83,21:24:21
2,120,98,21:24:33
4,140,95,21:24:46
2,99,91,21:24:59
5,104,91,21:25:11
5,89,95,21:25:23
9,25,22,21:25:36
7,73,69,21:25:49
10,44,52,21:26:03
5,4,6,21:26:15
9,16,14,21:26:27
10,31,31,21:26:38
7,63,59,21:26:50
6,55,68,21:27:01
6,140,91,21:27:13
4,5,17,21:27:25
5,20,22,21:27:38
0,41,100,21:27:50
2,132,94,21:28:02
3,129,94,21:28:14
4,172,96,21:28:25
2,10,24,21:28:37
1,153,99,21:28:49
3,80,88,21:29:03
4,138,91,21:29:15
3,102,95,21:29:27
7,104,88,21:29:38
3,111,94,21:29:50
0,78,100,21:30:02
2,91,95,21:30:14
0,73,100,21:30:26
4,98,91,21:30:38
3,75,80,21:30:49
3,115,96,21:31:01
2,145,98,21:31:13
4,124,95,21:31:26
7,121,81,21:31:38
7,117,91,21:31:50
9,23,49,21:32:03
5,50,78,21:32:15
2,51,84,21:32:28
10,56,82,21:32:40
4,92,83,21:32:52
2,120,98,21:33:04
4,140,95,21:33:17
2,99,91,21:33:29
5,104,91,21:33:42
5,89,95,21:33:54
9,25,22,21:34:06
7,73,69,21:34:19
10,44,52,21:34:33
5,4,6,21:34:44
5,4,6,21:34:44
9,16,14,21:34:56
10,31,31,21:35:08
7,63,59,21:35:20
6,55,68,21:35:32
6,140,91,21:35:44
4,5,17,21:35:57
5,20,22,21:36:10
0,41,100,21:36:22
2,132,94,21:36:34
3,129,94,21:36:46
4,172,96,21:36:57
2,10,24,21:37:09
1,153,99,21:37:21
3,80,88,21:37:33
4,138,91,21:37:45
3,102,95,21:37:57
7,104,88,21:38:09
3,111,94,21:38:20
0,78,100,21:38:33
2,91,95,21:38:44
0,73,100,21:38:56
4,98,91,21:39:08
3,75,80,21:39:20
3,115,96,21:39:32
2,145,98,21:39:44
4,124,95,21:39:57
7,121,81,21:40:09
7,117,91,21:40:22
9,23,49,21:40:34
5,50,78,21:40:47
2,51,84,21:41:00
10,56,82,21:41:12
4,92,83,21:41:24
2,120,98,21:41:37
4,140,95,21:41:49
2,99,91,21:42:01
5,104,91,21:42:13
5,89,95,21:42:25
9,25,22,21:42:38
7,73,69,21:42:50
10,44,52,21:43:02
5,4,6,21:43:14
9,16,14,21:43:26
10,31,31,21:43:37
7,63,59,21:43:49
6,55,68,21:44:01
6,140,91,21:44:13
4,5,17,21:44:25
5,20,22,21:44:38
0,41,100,21:44:49
2,132,94,21:45:02
3,129,94,21:45:13
4,172,96,21:45:24
2,10,24,21:45:36
1,153,99,21:45:47
3,80,88,21:46:00
4,138,91,21:46:11
3,102,95,21:46:23
7,104,88,21:46:35
3,111,94,21:46:47
0,78,100,21:46:58
2,91,95,21:47:10
0,73,100,21:47:21
4,98,91,21:47:33
3,75,80,21:47:44
3,115,96,21:47:56
2,145,98,21:48:08
4,124,95,21:48:20
7,121,81,21:48:33
7,117,91,21:48:44
9,23,49,21:48:57
5,50,78,21:49:09
2,51,84,21:49:20
10,56,82,21:49:32
