OOS,IS,Avalible,time
7,62,69,20:24:37
7,6,9,20:24:49
7,24,43,20:25:01
7,31,19,20:25:14
2,65,91,20:25:26
1,204,97,20:25:39
5,141,78,20:25:51
5,189,96,20:26:02
2,18,28,20:26:14
2,166,97,20:26:26
5,156,92,20:26:38
6,180,92,20:26:50
6,154,92,20:27:02
7,131,90,20:27:14
4,153,95,20:27:26
1,108,99,20:27:38
3,117,98,20:27:50
1,135,97,20:28:03
4,137,93,20:28:14
3,111,88,20:28:26
3,132,96,20:28:38
15,55,21,20:41:58
5,80,69,20:42:10
7,62,69,20:42:22
7,6,9,20:42:34
7,24,43,20:42:47
7,31,19,20:42:59
1,204,97,20:43:25
1,204,97,20:43:25
5,141,78,20:43:37
5,189,96,20:43:49
2,18,28,20:44:01
2,166,97,20:44:13
5,156,92,20:44:26
6,180,92,20:44:38
6,154,92,20:44:50
7,131,90,20:45:03
4,153,95,20:45:15
1,108,99,20:45:28
3,117,98,20:45:40
1,135,97,20:45:52
4,137,93,20:46:04
3,111,88,20:46:16
3,132,96,20:46:28
2,149,98,20:46:40
6,152,94,20:46:53
13,130,77,20:47:05
11,132,86,20:47:18
10,40,57,20:47:31
7,49,75,20:47:43
2,147,91,20:47:56
10,63,83,20:48:09
15,55,21,20:48:21
5,80,69,20:48:34
7,62,69,20:48:46
7,6,9,20:48:59
7,24,43,20:49:12
7,31,19,20:49:24
2,65,91,20:49:36
1,204,97,20:49:49
5,141,78,20:50:01
5,189,96,20:50:14
2,18,28,20:50:26
2,166,97,20:50:39
5,156,92,20:50:51
6,180,92,20:51:03
6,154,92,20:51:16
7,131,90,20:51:28
4,153,95,20:51:40
1,108,99,20:51:52
3,117,98,20:52:04
1,135,97,20:52:16
4,137,93,20:52:28
3,111,88,20:52:40
3,132,96,20:52:52
2,149,98,20:53:04
6,152,94,20:53:16
13,130,77,20:53:28
11,132,86,20:53:41
10,40,57,20:53:53
7,49,75,20:54:06
2,147,91,20:54:18
10,63,83,20:54:30
15,55,21,20:54:43
5,80,69,20:54:55
7,62,69,20:55:06
7,6,9,20:55:18
7,24,43,20:55:31
7,31,19,20:55:43
2,65,91,20:55:55
1,204,97,20:56:07
5,141,78,20:56:19
5,189,96,20:56:31
2,18,28,20:56:43
2,166,97,20:56:55
5,156,92,20:57:08
6,180,92,20:57:21
6,154,92,20:57:33
7,131,90,20:57:46
4,153,95,20:57:58
1,108,99,20:58:11
3,117,98,20:58:23
1,135,97,20:58:36
4,137,93,20:58:49
3,111,88,20:59:01
3,132,96,20:59:13
2,149,98,20:59:26
6,152,94,20:59:38
13,130,77,20:59:50
11,132,86,21:00:02
10,40,57,21:00:15
7,49,75,21:00:28
2,147,91,21:00:40
10,63,83,21:00:53
15,55,21,21:01:05
5,80,69,21:01:18
7,62,69,21:01:30
7,6,9,21:01:42
7,24,43,21:01:55
7,31,19,21:02:08
2,65,91,21:02:21
1,204,97,21:02:33
5,141,78,21:02:46
5,189,96,21:02:58
2,18,28,21:03:10
2,166,97,21:03:23
5,156,92,21:03:37
6,180,92,21:03:50
6,154,92,21:04:02
7,131,90,21:04:14
4,153,95,21:04:27
1,108,99,21:04:39
3,117,98,21:04:51
1,135,97,21:05:04
4,137,93,21:05:16
3,111,88,21:05:28
3,132,96,21:05:40
2,149,98,21:05:53
6,152,94,21:06:05
13,130,77,21:06:18
11,132,86,21:06:30
10,40,57,21:06:43
7,49,75,21:06:56
2,147,91,21:07:08
10,63,83,21:07:21
15,55,21,21:07:33
5,80,69,21:07:45
7,62,69,21:07:57
7,6,9,21:08:09
7,24,43,21:08:21
7,31,19,21:08:34
2,65,91,21:08:47
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
1,204,97,21:08:59
